Crew Name,Public Statement,Captain,Crew URL,Last Updated (UTC)
League of Shadows,The League of Shadows is a friendly and very active crew. Join us today and help us on the grind to #1 crew <3,Brocko,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5008157&classic=$classic,2026-02-26T18:07:43+00:00
Djinn N Tonic,YARRRRRRRRRRR,Basenji,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037658&classic=$classic,2026-02-26T18:07:43+00:00
More Wine Less Whine,,,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037101&classic=$classic,2026-02-26T18:07:43+00:00
New Frigs On The Block,We run on Rum and Fun,Thecoyote,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037742&classic=$classic,2026-02-26T18:07:43+00:00
Bad Candy,,Janessica,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5033905&classic=$classic,2026-02-26T18:07:43+00:00
Comic Relief,Just here to have fun away from the hustle and bustle of real life. Hit me up if you'd like to join.,Lovemimi,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037127&classic=$classic,2026-02-26T18:07:43+00:00
Rocks D Insanis Crew,We are the INSANIS pirates!,Omaradonis,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037976&classic=$classic,2026-02-26T18:07:43+00:00
Piece Keepers,"PieceKeepers: Where every piece fits – puzzles, mates, an' fun!",Bkierzy,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037952&classic=$classic,2026-02-26T18:07:43+00:00
The Caravel Corsairs,,Moel,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5013022&classic=$classic,2026-02-26T18:07:43+00:00
Ode to Piracy,We have fun at all times. Join at your own peril :P,Amazingdarts,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037702&classic=$classic,2026-02-26T18:07:43+00:00
Booze Cruise,High Spirits Event Crew!!!,Brockalt,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5031812&classic=$classic,2026-02-26T18:07:43+00:00
Ice Melting,If it burns it MELTS,,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037720&classic=$classic,2026-02-26T18:07:43+00:00
Deja Voodoo,We're back!,Lemontwist,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037715&classic=$classic,2026-02-26T18:07:43+00:00
Roulette Pirates,The most piratey pastime of all! Arr!,Gurlar,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037618&classic=$classic,2026-02-26T18:07:43+00:00
The Lost Imperial Navy,,,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5031354&classic=$classic,2026-02-26T18:07:43+00:00
Fairy Floss Fanatics,This is a private crew of blood and besties,Rumsundae,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5019586&classic=$classic,2026-02-26T18:07:43+00:00
Fenix,,Muntean,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037646&classic=$classic,2026-02-26T18:07:43+00:00
Cats Meow,,Mscat,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037649&classic=$classic,2026-02-26T18:07:43+00:00
Crazy Cats,,,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037696&classic=$classic,2026-02-26T18:07:43+00:00
The Senate,"""It's treason, then... YAAAAAARRRRRRRRRRRRR!"" – Chancellor Palpatine",,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5032894&classic=$classic,2026-02-26T18:07:43+00:00
La Taverne Quebecoise,Un Repere pour Quebecois,,https://emerald.puzzlepirates.com/yoweb/crew/info.wm?crewid=5037713&classic=$classic,2026-02-26T18:07:43+00:00
