Pirate Name,Pirate URL,Portrait URL,Crew Rank,Crew Job,Crew Name,Flag Role,Flag Name,Navy Rank,Navy Name,Navy Archipelago,Owns Count,Owns List,Manages Count,Manages List,Stalls Count,Stalls List,Houses Count,Houses List,Hearties Count,Hearties List,Reputation Conqueror,Reputation Explorer,Reputation Magnate,Reputation Patron,Skill Category Alchemistry,Skill Category Battle Navigation,Skill Category Bilging,Skill Category Blacksmithing,Skill Category Carpentry,Skill Category Distilling,Skill Category Drinking,Skill Category Foraging,Skill Category Gunning,Skill Category Hearts,Skill Category Navigating,Skill Category Patching,Skill Category Poker,Skill Category Rigging,Skill Category Rumble,Skill Category Sailing,Skill Category Shipwrightery,Skill Category Spades,Skill Category Swordfighting,Skill Category Treasure Drop,Skill Category Treasure Haul,Skill Category Weaving,Skill Experience Alchemistry,Skill Experience Battle Navigation,Skill Experience Bilging,Skill Experience Blacksmithing,Skill Experience Carpentry,Skill Experience Distilling,Skill Experience Drinking,Skill Experience Foraging,Skill Experience Gunning,Skill Experience Hearts,Skill Experience Navigating,Skill Experience Patching,Skill Experience Poker,Skill Experience Rigging,Skill Experience Rumble,Skill Experience Sailing,Skill Experience Shipwrightery,Skill Experience Spades,Skill Experience Swordfighting,Skill Experience Treasure Drop,Skill Experience Treasure Haul,Skill Experience Weaving,Skill Reputation Alchemistry,Skill Reputation Battle Navigation,Skill Reputation Bilging,Skill Reputation Blacksmithing,Skill Reputation Carpentry,Skill Reputation Distilling,Skill Reputation Drinking,Skill Reputation Foraging,Skill Reputation Gunning,Skill Reputation Hearts,Skill Reputation Navigating,Skill Reputation Patching,Skill Reputation Poker,Skill Reputation Rigging,Skill Reputation Rumble,Skill Reputation Sailing,Skill Reputation Shipwrightery,Skill Reputation Spades,Skill Reputation Swordfighting,Skill Reputation Treasure Drop,Skill Reputation Treasure Haul,Skill Reputation Weaving,Scrape Date,Scraped At UTC
Brucemcgraw,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Brucemcgraw,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-29,2026-03-29 20:29:07
Amazingdarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Amazingdarts,http://emerald.puzzlepirates.com/media/emerald/portraits/632/75ddd11b9b0e1a145e49ff12b76c8.jpg,Senior Officer,,Jack Daniels,Member,Whiskey Business,Lieutenant,Arakoua Island Navy,Ibis,0,,3,The Jordanian Distillery on Bowditch Island | The Jordanian Apothecary on Bowditch Island | The Jordanian Steel on Bowditch Island,0,,5,Shacky Doo on Hubble's Eye | Minute House on Greenwich Island | Homestead Hut on Lincoln Island | Eccentric Estates on Arakoua Island | Swamp Castle on Bowditch Island,0,,Aspiring,Established,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Solid,Solid,Narrow,Solid,Neophyte,Neophyte,Neophyte,Solid,Novice,Weighty,Broad,Solid,Weighty,Neophyte,Narrow,Solid,Novice,Narrow,Novice,Solid,Narrow,Distinguished,Master,Proficient,Distinguished,Distinguished,Able,Proficient,Renowned,Renowned,Able,Master,Master,Master,Grand-Master,Proficient,Proficient,Respected,Able,Able,Able,Distinguished,Master,2026-03-29,2026-03-29 20:29:07
Whitesnakes,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=whitesnakes,http://emerald.puzzlepirates.com/media/emerald/portraits/87e/4262bb9fb58c04261b3e9a0c956f0.jpg,Senior Officer,Architect,Mayan Empire,Lord,Party On Olympus,Lieutenant,Admiral Island Navy,Gull,14,Hot Iron and Heavy Loads on Alkaid Island | Kukulkan Spirits on Barbary Island | Ch'aaj Apothecary on Barbary Island | Chaac's Harbor on Ix Chel | Yo Mommas Bikini String on Alkaid Island | Jade Industry on Armstrong Island | Dark Sommeliers on Alkaid Island | Threads of Kukulkan on Arakoua Island | Threads of Kukulkan on Caravanserai Island | Distill My Heart on Alkaid Island | The Studio Fort on Ix Chel | Knot So Spicy on Arakoua Island | Turn A Blind Dye on Bowditch Island | Kukulkan Spirits on Sayers Rock,0,,4,Whitesnakes's Tailoring Stall on Admiral Island | Whitesnakes's Apothecary Stall on Admiral Island | Woodventure's Ironworking Stall on Wissahickon Island | Hydroventure's Ironworking Stall on Wissahickon Island,9,Bungalow Bill on Admiral Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Jonestown Houses on Aimuari Island | Bedside Manors on Admiral Island | Villa Las Vegas on Admiral Island | Guardians of the Gallery on Admiral Island | King Kottage on Admiral Island | The Great Estate on Admiral Island,33,Adrielle | Affame | Aperion | Arielday | Bluesnakes | Cashier | Cptdrewski | Dryke | Finbarr | Getwrecked | Gravee | Graysn | Hauk | Heralea | Hielo | Hollisue | Imany | Kahla | Kenjilamar | Lozenger | Mrflop | Ogkinggold | Sage | Scap | Souul | Spongiform | Spyda | Swissex | Texnikos | Urgal | Wulferion | Xery | Yasminkov,Celebrated,Illustrious,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Broad,Expert,Weighty,Narrow,Weighty,Novice,Neophyte,Solid,Solid,Neophyte,Solid,Solid,Solid,Paragon,Apprentice,Solid,Broad,Neophyte,Broad,Neophyte,Sublime,Solid,Proficient,Legendary,Master,Able,Renowned,Able,Distinguished,Ultimate,Distinguished,Distinguished,Distinguished,Renowned,Distinguished,Ultimate,Proficient,Proficient,Proficient,Distinguished,Renowned,Able,Master,Respected,2026-03-29,2026-03-29 20:29:07
Amazingtarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=amazingtarts,,Captain,,Ode to Piracy,,,Stowaway,Penobscot Island Navy,Stork,0,,0,,0,,2,Shack Macaque on Alkaid Island | Eccentric Estates on Arakoua Island,3,Amazingdarts | Captbiology | Cptbigbamboo,Aspiring,Obscure,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Neophyte,Apprentice,Apprentice,Novice,Novice,Novice,Neophyte,Novice,Novice,Neophyte,Novice,Novice,Narrow,Novice,Novice,Narrow,Novice,Novice,Novice,Novice,Novice,Able,Able,Able,Proficient,Able,Able,Able,Proficient,Able,Able,Able,Able,Able,Proficient,Able,Able,Proficient,Able,Able,Able,Proficient,Able,2026-03-29,2026-03-29 20:29:07
Drunkdarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=drunkdarts,,,,,,,Stowaway,The Lowland Hundred Navy,Horse Head,0,,0,,0,,1,Milkshack on Wensleydale,3,Amazingdarts | Captbiology | Deserteagles,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Novice,Neophyte,Solid,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Apprentice,Novice,Novice,Neophyte,Novice,Novice,Novice,Novice,Novice,Able,Able,Proficient,Respected,Able,Able,Able,Able,Able,Able,Able,Able,Able,Proficient,Able,Able,Proficient,Able,Able,Able,Able,Able,2026-03-29,2026-03-29 20:29:07
Scozy,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=scozy,http://emerald.puzzlepirates.com/media/emerald/portraits/36d/431d421bde146c18fdb1fe7f55136.jpg,Captain,Warmonger,Washed Up,King,Guppy Gang,Ensign,Alkaid Island Navy,Ursa,6,Brass Monkey on Alkaid Island | Lawless Blonde on Admiral Island | The Shrine of the Silver Monkey on Alkaid Island | The Iron Ape on Alkaid Island | Primate Realty on Alkaid Island | See Hear Speak and Buy No Evil on Alkaid Island,4,Dial M for Madder on Admiral Island | Grindylows on Scrimshaw Island | Falcons Bay on Albatross Island | Clothes that Sleigh on Aimuari Island,0,,20,Adobe Abode on Chachapoya Island | Homestead Hut on Lincoln Island | Sigil Shack on Sayers Rock | Shack eel Oh Kneel on Blackthorpe Island | The Cuckoo's Nest on Quetzal Island | Milkshack on Wensleydale | Caddyshack on Admiral Island | Cabin Fever on Admiral Island | Stab In Cabin on Aimuari Island | Cambrian Cabins on Arakoua Island | Bunker Bungalow on Lincoln Island | Bungalow Bill on Admiral Island | Cheesy Pun on Wensleydale | Bringing Town the House on Admiral Island | Sidekick Shacks on Barbary Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Funky Townhouse on Caravanserai Island | Only a Manor of Time on Aimuari Island | Bedside Manors on Admiral Island,0,,Aspiring,Eminent,Eminent,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Weighty,Solid,Solid,Solid,Apprentice,Neophyte,Solid,Weighty,Narrow,Expert,Broad,Sublime,Narrow,Apprentice,Illustrious,Narrow,Broad,Expert,Narrow,Expert,Weighty,Proficient,Respected,Proficient,Master,Master,Able,Proficient,Respected,Respected,Master,Master,Master,Proficient,Proficient,Master,Legendary,Proficient,Master,Grand-Master,Distinguished,Distinguished,Legendary,2026-03-29,2026-03-29 20:29:07
Swiggity,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=swiggity,http://emerald.puzzlepirates.com/media/emerald/portraits/e39/93c08462ad7bc7da5a157a87e60c2.jpg,Captain,Drunk,Jack Daniels,King,Whiskey Business,Chief Petty Officer,Admiral Island Navy,Gull,1,Monkey Mix on Alkaid Island,0,,1,Crystalla's Tailoring Stall on Admiral Island,5,Caddyshack on Admiral Island | King Kottage on Admiral Island | Bedside Manors on Admiral Island | Cabin Fever on Admiral Island | Bringing Town the House on Admiral Island,2,Avada | Kedavra,Aspiring,Renowned,Eminent,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Broad,Weighty,Narrow,Broad,Broad,Solid,Neophyte,Broad,Narrow,Solid,Narrow,Broad,Solid,Narrow,Apprentice,Broad,Narrow,Novice,Narrow,Apprentice,Solid,Neophyte,Proficient,Ultimate,Proficient,Able,Proficient,Able,Able,Proficient,Proficient,Renowned,Able,Proficient,Proficient,Proficient,Able,Proficient,Able,Able,Able,Proficient,Proficient,Proficient,2026-03-29,2026-03-29 20:29:07
Scozydeeds,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=scozydeeds,http://emerald.puzzlepirates.com/media/emerald/portraits/908/b45d71ad9cbfb37ab865290eefd6e.jpg,Captain,,Serotonin,Member,Do Not Reply,Petty Officer,Blackthorpe Island Navy,Pelican,0,,0,,0,,6,Caddyshack on Admiral Island | Milkshack on Wensleydale | Sidekick Shacks on Barbary Island | Love Shack on Caravanserai Island | Sea Shack on Scrimshaw Island | Shack eel Oh Kneel on Blackthorpe Island,5,Clumpspears | Jobwithme | Jojejo | Ladylilly | Yburr,Aspiring,Aspiring,Obscure,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Narrow,Solid,Neophyte,Novice,Novice,Novice,Apprentice,Novice,Narrow,Novice,Neophyte,Novice,Novice,Solid,Novice,Novice,Novice,Novice,Apprentice,Apprentice,Able,Able,Able,Master,Proficient,Able,Able,Able,Respected,Able,Proficient,Able,Able,Able,Able,Master,Able,Able,Able,Able,Renowned,Respected,2026-03-29,2026-03-29 20:29:07
Brucemcgaw,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Brucemcgaw,http://emerald.puzzlepirates.com/media/emerald/portraits/1af/69dfcd151d71879a78ebe3d38623d.jpg,,,,,,Stowaway,Admiral Island Navy,Gull,0,,0,,15,Brucemcgaw's Distilling Stall on Aimuari Island | Brucemcgaw's Distilling Stall on Sayers Rock | Brucemcgaw's Furnishing Stall on Admiral Island | Brucemcgaw's Ironworking Stall on Admiral Island | Brucemcgaw's Distilling Stall on Admiral Island | Brucemcgaw's Weaving Stall on Admiral Island | Brucemcgaw's Apothecary Stall on Admiral Island | Brucemcgaw's Ironworking Stall on Alkaid Island | Brucemcgaw's Tailoring Stall on Admiral Island | Brucemcgaw's Shipbuilding Stall on Admiral Island | Brucemcgaw's Distilling Stall on Arakoua Island | Brucemcgaw's Distilling Stall on Alkaid Island | Brucemcgaw's Distilling Stall on Scrimshaw Island | Brucemcgaw's Ironworking Stall on Aimuari Island | Brucemcgaw's Distilling Stall on Bowditch Island,1,Love Shack on Caravanserai Island,42,Alwaysbroke | Beckerz | Bekkyjo | Bilager | Blackjacck | Darkmouth | Darkwell | Deckpig | Electricio | Fastugio | Gongfu | Gurlar | Kelsarianna | Kikinoki | Koalaking | Kou | Kozzar | Krash | Legoheads | Longsao | Meowsah | Metapuzzle | Mirru | Missroxy | Msrg | Nautical | Oceanvibe | Oodnadata | Ottilia | Prrettywoman | Rockyb | Ruminmytum | Sparrky | Squares | Teddyb | Tobyeans | Tokkii | Traegs | Wodobols | Xingtairen | Xyc | Yovie,Noted,Illustrious,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Neophyte,Solid,Broad,Narrow,Narrow,Broad,Novice,Narrow,Novice,Novice,Narrow,Solid,Weighty,Solid,Neophyte,Broad,Broad,Novice,Neophyte,Neophyte,Weighty,Novice,Able,Distinguished,Proficient,Able,Proficient,Proficient,Able,Proficient,Able,Able,Able,Master,Renowned,Proficient,Proficient,Proficient,Able,Able,Able,Proficient,Distinguished,Able,2026-03-29,2026-03-29 21:14:41
Amazingdarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Amazingdarts,http://emerald.puzzlepirates.com/media/emerald/portraits/632/75ddd11b9b0e1a145e49ff12b76c8.jpg,Senior Officer,,Jack Daniels,Member,Whiskey Business,Lieutenant,Arakoua Island Navy,Ibis,0,,3,The Jordanian Distillery on Bowditch Island | The Jordanian Apothecary on Bowditch Island | The Jordanian Steel on Bowditch Island,0,,5,Shacky Doo on Hubble's Eye | Minute House on Greenwich Island | Homestead Hut on Lincoln Island | Eccentric Estates on Arakoua Island | Swamp Castle on Bowditch Island,0,,Aspiring,Established,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Solid,Solid,Narrow,Solid,Neophyte,Neophyte,Neophyte,Solid,Novice,Weighty,Broad,Solid,Weighty,Neophyte,Narrow,Solid,Novice,Narrow,Novice,Solid,Narrow,Distinguished,Master,Proficient,Distinguished,Distinguished,Able,Proficient,Renowned,Renowned,Able,Master,Master,Master,Grand-Master,Proficient,Proficient,Respected,Able,Able,Able,Distinguished,Master,2026-03-29,2026-03-29 21:14:41
