Pirate Name,Pirate URL,Portrait URL,Crew Rank,Crew Job,Crew Name,Flag Role,Flag Name,Navy Rank,Navy Name,Navy Archipelago,Owns Count,Owns List,Manages Count,Manages List,Stalls Count,Stalls List,Houses Count,Houses List,Hearties Count,Hearties List,Reputation Conqueror,Reputation Explorer,Reputation Magnate,Reputation Patron,Skill Category Alchemistry,Skill Category Battle Navigation,Skill Category Bilging,Skill Category Blacksmithing,Skill Category Carpentry,Skill Category Distilling,Skill Category Drinking,Skill Category Foraging,Skill Category Gunning,Skill Category Hearts,Skill Category Navigating,Skill Category Patching,Skill Category Poker,Skill Category Rigging,Skill Category Rumble,Skill Category Sailing,Skill Category Shipwrightery,Skill Category Spades,Skill Category Swordfighting,Skill Category Treasure Drop,Skill Category Treasure Haul,Skill Category Weaving,Skill Experience Alchemistry,Skill Experience Battle Navigation,Skill Experience Bilging,Skill Experience Blacksmithing,Skill Experience Carpentry,Skill Experience Distilling,Skill Experience Drinking,Skill Experience Foraging,Skill Experience Gunning,Skill Experience Hearts,Skill Experience Navigating,Skill Experience Patching,Skill Experience Poker,Skill Experience Rigging,Skill Experience Rumble,Skill Experience Sailing,Skill Experience Shipwrightery,Skill Experience Spades,Skill Experience Swordfighting,Skill Experience Treasure Drop,Skill Experience Treasure Haul,Skill Experience Weaving,Skill Reputation Alchemistry,Skill Reputation Battle Navigation,Skill Reputation Bilging,Skill Reputation Blacksmithing,Skill Reputation Carpentry,Skill Reputation Distilling,Skill Reputation Drinking,Skill Reputation Foraging,Skill Reputation Gunning,Skill Reputation Hearts,Skill Reputation Navigating,Skill Reputation Patching,Skill Reputation Poker,Skill Reputation Rigging,Skill Reputation Rumble,Skill Reputation Sailing,Skill Reputation Shipwrightery,Skill Reputation Spades,Skill Reputation Swordfighting,Skill Reputation Treasure Drop,Skill Reputation Treasure Haul,Skill Reputation Weaving
Brucemcgaw,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Brucemcgaw,http://emerald.puzzlepirates.com/media/emerald/portraits/1af/69dfcd151d71879a78ebe3d38623d.jpg,Officer,Shopkeeper,Moolah,Member,Pull Out,Stowaway,Admiral Island Navy,Gull,0,,0,,1,Brucemcgaw's Shipbuilding Stall on Admiral Island,1,Love Shack on Caravanserai Island,41,Beckerz | Bekkyjo | Bilager | Blackjacck | Cazix | Darkmouth | Darkwell | Deckpig | Electricio | Fastugio | Gongfu | Gurlar | Kelsarianna | Kikinoki | Koalaking | Kou | Krash | Legoheads | Longsao | Meowsah | Metapuzzle | Mirru | Missroxy | Nautical | Oceanvibe | Oodnadata | Ottilia | Prrettywoman | Rockyb | Ruminmytum | Sparrky | Squares | Teddyb | Tobyeans | Tokkii | Tosikit | Traegs | Wodobols | Xingtairen | Xyc | Yovie,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Solid,Broad,Narrow,Narrow,Broad,Novice,Narrow,Novice,Novice,Narrow,Solid,Weighty,Solid,Neophyte,Broad,Solid,Novice,Neophyte,Neophyte,Expert,Novice,Able,Distinguished,Proficient,Able,Able,Proficient,Able,Distinguished,Able,Able,Able,Distinguished,Master,Proficient,Proficient,Proficient,Proficient,Able,Able,Able,Respected,Able
Amazingdarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Amazingdarts,http://emerald.puzzlepirates.com/media/emerald/portraits/632/75ddd11b9b0e1a145e49ff12b76c8.jpg,Captain,Strategist,To Throw First,,,Lieutenant,Sayers Rock Navy,Ursa,4,The Alchemic Dart on Sayers Rock | The Molten Dart on Sayers Rock | The Wright Dart on Sayers Rock | The Drunk Dart on Sayers Rock,0,,1,Amazingdarts's Weaving Stall on Doyle Island,6,Homestead Hut on Lincoln Island | Sigil Shack on Sayers Rock | Shacky Doo on Hubble's Eye | Minute House on Greenwich Island | Eccentric Estates on Arakoua Island | Swamp Castle on Bowditch Island,0,,Aspiring,Aspiring,Established,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Solid,Solid,Broad,Solid,Neophyte,Neophyte,Neophyte,Solid,Novice,Weighty,Broad,Solid,Weighty,Neophyte,Narrow,Solid,Novice,Narrow,Novice,Solid,Narrow,Respected,Master,Proficient,Respected,Distinguished,Able,Proficient,Master,Renowned,Able,Respected,Respected,Proficient,Renowned,Proficient,Proficient,Master,Able,Able,Able,Distinguished,Renowned
Whitesnakes,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=whitesnakes,http://emerald.puzzlepirates.com/media/emerald/portraits/3ba/ee3ea6e08dd72683786fb93431d1e.jpg,Senior Officer,Architect,Mayan Empire,Lord,No Strings Attached,Lieutenant,Admiral Island Navy,Gull,9,Knot So Spicy on Arakoua Island | Hallow Bastion on Ventress Island | Distill My Heart on Alkaid Island | Kukulkan Spirits on Armstrong Island | Go Float Yourself on Ventress Island | Bedrock Brewery on Arakoua Island | Jade Industry on Armstrong Island | Dark Sommeliers on Alkaid Island | Forge of Kukulkan on Alkaid Island,4,Sanctuary for Sin on Kasidim Island | Balls Mafia on Barbary Island | Buffalo Trace on Barbary Island | K TWO on Arakoua Island,5,Whitesnakes's Apothecary Stall on Admiral Island | Whitesnakes's Apothecary Stall on Aimuari Island | Whitesnakes's Tailoring Stall on Admiral Island | Woodventure's Ironworking Stall on Wissahickon Island | Hydroventure's Ironworking Stall on Wissahickon Island,11,Bungalow Bill on Admiral Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Jonestown Houses on Aimuari Island | Bedside Manors on Admiral Island | Villa of the Damned on Aimuari Island | Villa Las Vegas on Admiral Island | Guardians of the Gallery on Admiral Island | King Kottage on Admiral Island | The Great Estate on Admiral Island | Guardians of the Gallery on Barbary Island,2,Auraluna | Waternymph,Noted,Celebrated,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Paragon,Paragon,Solid,Paragon,Novice,Neophyte,Solid,Solid,Neophyte,Solid,Expert,Solid,Illustrious,Apprentice,Solid,Solid,Neophyte,Solid,Neophyte,Sublime,Solid,Distinguished,Respected,Grand-Master,Master,Grand-Master,Proficient,Distinguished,Ultimate,Proficient,Able,Distinguished,Grand-Master,Able,Ultimate,Proficient,Proficient,Master,Able,Master,Able,Renowned,Master
Amazingtarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=amazingtarts,http://emerald.puzzlepirates.com/media/emerald/portraits/113/ce8721d73b22a1a4ed9e5ae2c5e14.jpg,Fleet Officer,,Raging Waters,Member,Raging Waters,Stowaway,Sayers Rock Navy,Ursa,0,,4,The Alchemic Dart on Sayers Rock | The Molten Dart on Sayers Rock | The Wright Dart on Sayers Rock | The Drunk Dart on Sayers Rock,0,,2,Shack Macaque on Alkaid Island | Eccentric Estates on Arakoua Island,1,Amazingdarts,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Neophyte,Apprentice,Apprentice,Novice,Novice,Novice,Neophyte,Novice,Novice,Neophyte,Novice,Novice,Broad,Novice,Novice,Narrow,Novice,Novice,Novice,Novice,Novice,Able,Distinguished,Able,Distinguished,Able,Able,Able,Distinguished,Respected,Able,Able,Able,Able,Proficient,Able,Able,Distinguished,Able,Able,Able,Distinguished,Proficient
Drunkdarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=drunkdarts,,Pirate,,To Throw First,,,Stowaway,The Lowland Hundred Navy,Horse Head,0,,0,,0,,1,Milkshack on Wensleydale,3,Amazingdarts | Captbiology | Deserteagles,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Novice,Neophyte,Solid,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Apprentice,Novice,Novice,Neophyte,Novice,Novice,Novice,Novice,Novice,Able,Able,Proficient,Master,Able,Able,Able,Able,Able,Able,Able,Able,Able,Proficient,Able,Able,Proficient,Able,Able,Able,Able,Distinguished
Scozy,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=scozy,http://emerald.puzzlepirates.com/media/emerald/portraits/237/3dc8800fafdcd091d8cb2414eb1e7.jpg,Captain,Warmonger,Washed Up,King,Guppy Gang,Ensign,Alkaid Island Navy,Ursa,17,The Norwood Builder on Doyle Island | Unfortunate on Tumult Island | The Iron Ape on Alkaid Island | See Hear Speak and Buy No Evil on Alkaid Island | Anchor Management on Tumult Island | Falcons Bay on Albatross Island | Primate Realty on Alkaid Island | Ships of Prey on Albatross Island | Acme Trading Co on Hubble's Eye | Baker Street on Doyle Island | The Game Is A-Fruit on Doyle Island | Fortress of Solitude on Hubble's Eye | The Shrine of the Silver Monkey on Alkaid Island | The Mad King's Medicine on Alkaid Island | Lawless Blonde on Admiral Island | Progress Pointe on Gallows Island | Bob The Builder on Hubble's Eye,3,Dial M for Madder on Admiral Island | Grindylows on Scrimshaw Island | Clothes that Sleigh on Aimuari Island,0,,20,Sigil Shack on Sayers Rock | The Cuckoo's Nest on Quetzal Island | Shack eel Oh Kneel on Blackthorpe Island | Homestead Hut on Lincoln Island | Caddyshack on Admiral Island | Adobe Abode on Chachapoya Island | Milkshack on Wensleydale | Cambrian Cabins on Arakoua Island | Cabin Fever on Admiral Island | Stab In Cabin on Aimuari Island | Bunker Bungalow on Lincoln Island | Bungalow Bill on Admiral Island | Cheesy Pun on Wensleydale | Bringing Town the House on Admiral Island | Sidekick Shacks on Barbary Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Funky Townhouse on Caravanserai Island | Bedside Manors on Admiral Island | Only a Manor of Time on Aimuari Island,0,,Aspiring,Rumored,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Weighty,Solid,Solid,Solid,Apprentice,Neophyte,Solid,Weighty,Narrow,Expert,Broad,Sublime,Narrow,Apprentice,Illustrious,Narrow,Broad,Expert,Narrow,Paragon,Weighty,Proficient,Respected,Proficient,Renowned,Respected,Able,Proficient,Master,Respected,Able,Master,Respected,Able,Proficient,Respected,Ultimate,Proficient,Proficient,Master,Proficient,Distinguished,Legendary
Swiggity,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=swiggity,http://emerald.puzzlepirates.com/media/emerald/portraits/e39/93c08462ad7bc7da5a157a87e60c2.jpg,Captain,Drunk,Jack Daniels,Lord,Pull Out,Chief Petty Officer,Admiral Island Navy,Gull,0,,0,,0,,5,Caddyshack on Admiral Island | King Kottage on Admiral Island | Cabin Fever on Admiral Island | Bringing Town the House on Admiral Island | Cthulhu Mansion on Admiral Island,2,Avada | Kedavra,Aspiring,Aspiring,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Broad,Weighty,Narrow,Broad,Broad,Solid,Neophyte,Broad,Narrow,Solid,Narrow,Broad,Weighty,Narrow,Apprentice,Broad,Narrow,Novice,Narrow,Apprentice,Solid,Neophyte,Distinguished,Ultimate,Proficient,Proficient,Proficient,Able,Able,Distinguished,Proficient,Proficient,Able,Proficient,Able,Able,Able,Proficient,Able,Able,Able,Able,Distinguished,Distinguished
Scozydeeds,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=scozydeeds,http://emerald.puzzlepirates.com/media/emerald/portraits/908/b45d71ad9cbfb37ab865290eefd6e.jpg,Captain,,Nein Nein Nein Nein,Prince,Guppy Gang,Chief Petty Officer,Albatross Island Navy,Osprey,0,,0,,0,,6,Shack eel Oh Kneel on Blackthorpe Island | Caddyshack on Admiral Island | Milkshack on Wensleydale | Sidekick Shacks on Barbary Island | Love Shack on Caravanserai Island | Sea Shack on Scrimshaw Island,1,Jobwithme,Aspiring,Obscure,Rumored,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Narrow,Solid,Apprentice,Novice,Novice,Novice,Narrow,Novice,Narrow,Neophyte,Neophyte,Novice,Novice,Solid,Novice,Novice,Novice,Novice,Apprentice,Apprentice,Able,Able,Able,Master,Proficient,Able,Able,Able,Master,Able,Proficient,Proficient,Able,Able,Able,Master,Able,Able,Able,Able,Renowned,Master
Crushiie,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=crushiie,http://emerald.puzzlepirates.com/media/emerald/portraits/e90/99f5716ae32b288cd56db7f4c3745.jpg,Captain,,Get Scuppered,Queen,Her Majesties Misfits,Lieutenant,Admiral Island Navy,Gull,1,Threadpool on Admiral Island,0,,0,,5,Jurassic Shack on Arakoua Island | King Kottage on Admiral Island | Bringing Town the House on Admiral Island | Jurassic Shack on Arakoua Island | Villa Las Vegas on Admiral Island,0,,Obscure,Aspiring,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Broad,Weighty,Solid,Broad,Apprentice,Novice,Solid,Solid,Novice,Solid,Illustrious,Solid,Solid,Broad,Solid,Weighty,Neophyte,Solid,Apprentice,Weighty,Solid,Proficient,Proficient,Proficient,Respected,Proficient,Able,Able,Respected,Able,Able,Able,Grand-Master,Distinguished,Proficient,Able,Proficient,Distinguished,Able,Proficient,Able,Distinguished,Master
Graysn,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=graysn,http://emerald.puzzlepirates.com/media/emerald/portraits/35f/66eefa189a2576223e5d6dd95af04.jpg,Senior Officer,,The Mob,Prince,Late Night Hoes,Lieutenant,Admiral Island Navy,Gull,0,,3,Dock Dre on Armstrong Island | Tailor Made on Admiral Island | Blazers of Glory on Admiral Island,0,,5,Caddyshack on Admiral Island | The Cuckoo's Nest on Quetzal Island | Love Shack on Caravanserai Island | Cabin Fever on Admiral Island | Bedside Manors on Admiral Island,2,Hielo | Wishfury,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Narrow,Solid,Narrow,Broad,Novice,Novice,Solid,Broad,Novice,Solid,Weighty,Broad,Illustrious,Novice,Broad,Broad,Novice,Weighty,Novice,Illustrious,Solid,Proficient,Distinguished,Master,Proficient,Proficient,Able,Proficient,Ultimate,Distinguished,Able,Master,Grand-Master,Able,Legendary,Able,Proficient,Respected,Able,Grand-Master,Proficient,Master,Renowned
Krimz,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=krimz,http://emerald.puzzlepirates.com/media/emerald/portraits/acf/3a511cb523dbdf9695c73cd613359.jpg,Captain,Prisoner,Trippin Balls,Prince,Bad Trip,Admiral,Admiral Island Navy,Gull,1,Hullucination Harbor on Sayers Rock,1,Your Moist Laundry on Caravanserai Island,0,,2,Bedside Manors on Admiral Island | King Kottage on Admiral Island,0,,Aspiring,Celebrated,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Weighty,Apprentice,Sublime,Novice,Novice,Solid,Illustrious,Narrow,Weighty,Weighty,Expert,Solid,Neophyte,Paragon,Weighty,Apprentice,Weighty,Neophyte,Illustrious,Neophyte,Able,Ultimate,Legendary,Proficient,Renowned,Able,Able,Master,Legendary,Able,Proficient,Renowned,Able,Grand-Master,Master,Grand-Master,Distinguished,Able,Master,Proficient,Master,Proficient
Rickeh,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=rickeh,http://emerald.puzzlepirates.com/media/emerald/portraits/84c/73f7ebe1fe98f0c915b0c6bd608f2.jpg,Captain,Diplomat,Moolah,Prince,Pull Out,Lieutenant,Admiral Island Navy,Gull,2,Frigged up on Iocane Island | Kitty City on Iocane Island,2,Biggie Ballistics on Armstrong Island | Mastrology on Sayers Rock,7,Rickeh's Ironworking Stall on Lincoln Island | Rickeh's Ironworking Stall on Kasidim Island | Rickeh's Ironworking Stall on Isle of Kent | Rickeh's Distilling Stall on Lincoln Island | Rickeh's Ironworking Stall on Greenwich Island | Laleh's Apothecary Stall on Wensleydale | Rhay's Distilling Stall on Kasidim Island,5,Shack Macaque on Alkaid Island | Caddyshack on Admiral Island | Villa Las Vegas on Admiral Island | Caddyshack on Admiral Island | The Great Estate on Admiral Island,0,,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Broad,Weighty,Weighty,Paragon,Expert,Neophyte,Narrow,Weighty,Broad,Illustrious,Solid,Expert,Weighty,Broad,Solid,Solid,Solid,Narrow,Apprentice,Paragon,Apprentice,Master,Ultimate,Renowned,Grand-Master,Renowned,Distinguished,Respected,Ultimate,Respected,Proficient,Legendary,Legendary,Able,Ultimate,Respected,Respected,Distinguished,Proficient,Ultimate,Proficient,Renowned,Respected
Cashier,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=cashier,http://emerald.puzzlepirates.com/media/emerald/portraits/845/c1c43a8b2e7d482b080f7e9104a2f.jpg,Senior Officer,Ambassador,The Salty Splatoon,King,Party On Olympus,Lieutenant Commander,Doyle Island Navy,Ursa,0,,2,Negra Arroyo Lane on Alkaid Island | Salty Remedies on Sayers Rock,1,Cashier's Tailoring Stall on Admiral Island,6,Milkshack on Wensleydale | Sea Shack on Scrimshaw Island | Caddyshack on Admiral Island | Bedside Manors on Admiral Island | Tortilla Villas on Chachapoya Island | Keep Calm and Love King Kong on Alkaid Island,1,Jezerbell,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Weighty,Expert,Solid,Expert,Neophyte,Apprentice,Weighty,Broad,Neophyte,Solid,Weighty,Solid,Illustrious,Neophyte,Narrow,Broad,Novice,Weighty,Broad,Paragon,Weighty,Proficient,Distinguished,Legendary,Grand-Master,Respected,Able,Able,Ultimate,Proficient,Able,Master,Renowned,Able,Ultimate,Proficient,Able,Master,Able,Renowned,Respected,Grand-Master,Ultimate
Chefdavid,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=chefdavid,http://emerald.puzzlepirates.com/media/emerald/portraits/3b8/2b6ddb53f4d2aed595ff6eff3e01e.jpg,Senior Officer,Cook,Euthanasia,Prince,No Strings Attached,Petty Officer,Barbary Island Navy,Ibis,5,uballs on Barbary Island | Bananaman on Barbary Island | Haute Couture Cafe on Sayers Rock | Daily Plan-It on Barbary Island | Hall of Justice on Barbary Island,16,Only Frigs on Barbary Island | Rocket Power on Barbary Island | Kryptonite Concoctions on Barbary Island | Frigate Driver on Admiral Island | Wonder Weaves on Barbary Island | Gentleman's Quarterly on Barbary Island | Skail Spice on Sayers Rock | The Crystal Palace on Arakoua Island | Jurassic Arch on Arakoua Island | Frig Off on Barbary Island | Blow My Bellows on Barbary Island | Altered Reality on Kasidim Island | The Lab on Arakoua Island | Calico Cut Pants on Alkaid Island | Longneck Lager on Arakoua Island | Spirited Away on Admiral Island,2,Cheesypoofzz's Ironworking Stall on Kasidim Island | Katzecradle's Apothecary Stall on Greenwich Island,8,Sidekick Shacks on Barbary Island | Sigil Shack on Sayers Rock | Cabin Fever on Admiral Island | A Theatre To Watch My Movies on Sayers Rock | Caddyshack on Admiral Island | Villayria on Barbary Island | Tortilla Villas on Chachapoya Island | Guardians of the Gallery on Barbary Island,20,Amayabella | Ashleydawn | Bekwreck | Cozi | Doomkitty | Finbarr | Fools | Goldenbears | Loons | Macsii | Mattrimc | Mrflop | Obaider | Ottilia | Quap | Rockstarg | Senara | Slows | Thelifeofme | Yassenn,Rumored,Noted,Eminent,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Expert,Expert,Solid,Novice,Novice,Apprentice,Broad,Narrow,Broad,Narrow,Broad,Solid,Solid,Neophyte,Neophyte,Neophyte,Novice,Broad,Novice,Illustrious,Novice,Able,Ultimate,Proficient,Able,Able,Able,Distinguished,Proficient,Able,Proficient,Able,Proficient,Renowned,Proficient,Respected,Able,Able,Able,Able,Able,Proficient,Able
Chefdavidd,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=chefdavidd,http://emerald.puzzlepirates.com/media/emerald/portraits/9b9/b6388cbde4a0e66bf59d920425441.jpg,Senior Officer,,Friends with Benefits,Member,No Strings Attached,Stowaway,Ventress Island Navy,Pelican,0,,0,,0,,1,Aural Shacks on Bowditch Island,0,,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Narrow,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Solid,Novice,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able
