Pirate URL,Pirate Name,Crew Rank,Crew Name,Flag Role,Flag Name,Sailing,Rigging,Carpentry,Patching,Bilging,Gunning,Treasure Haul,Navigating,Battle Navigation,Swordfighting,Rumble,Drinking,Spades,Hearts,Treasure Drop,Poker,Distilling,Alchemistry,Shipwrightery,Blacksmithing,Foraging,Weaving,Last Updated (UTC)
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Brocko,Brocko,Counselor,League of Shadows,Prince,High Spirits,Solid / Proficient (archipelago: Distinguished ),Expert / Proficient,Broad / Proficient,Weighty / Grand-Master,Paragon / Proficient,Solid / Able (archipelago: Proficient ),Expert / Able,Solid / Proficient,Expert / Grand-Master,Expert / Able,Narrow / Master,Neophyte / Distinguished (archipelago: Respected ),Novice / Distinguished (archipelago: Able),Narrow / Respected (archipelago: Proficient ),Narrow / Respected (archipelago: Master ),Revered / Distinguished (archipelago: Proficient ),Weighty / Renowned (archipelago: Master ),Solid / Distinguished (archipelago: Respected ),Solid / Proficient,Weighty / Master,Solid / Proficient (archipelago: Distinguished ),Narrow / Distinguished,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Babazubi,Babazubi,Officer,League of Shadows,Member,High Spirits,Solid / Proficient,Broad / Proficient (archipelago: Able),Narrow / Able,Narrow / Able,Expert / Proficient,Solid / Proficient,Weighty / Proficient,Apprentice / Able,Expert / Renowned (archipelago: Master ),Broad / Able (archipelago: Proficient ),Narrow / Respected (archipelago: Master ),Narrow / Proficient (archipelago: Distinguished ),Novice / Able,Novice / Able,Narrow / Proficient (archipelago: Able),Solid / Distinguished (archipelago: Proficient ),Novice / Able,Novice / Able,Apprentice / Able,Neophyte / Able,Solid / Respected (archipelago: Distinguished ),Neophyte / Able,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Bigtimerz,Bigtimerz,Drunk,League of Shadows,Member,High Spirits,Broad / Proficient,Solid / Proficient,Broad / Proficient,Broad / Respected (archipelago: Proficient ),Weighty / Distinguished,Expert / Respected,Expert / Proficient,Paragon / Proficient (archipelago: Distinguished ),Expert / Ultimate,Solid / Able,Narrow / Master,Narrow / Respected (archipelago: Distinguished ),Novice / Able,Narrow / Respected (archipelago: Able),Apprentice / Proficient (archipelago: Able),Illustrious / Proficient (archipelago: Able),Broad / Proficient (archipelago: Able),Novice / Able,Novice / Able,Solid / Distinguished (archipelago: Respected ),Broad / Proficient,Broad / Proficient (archipelago: Distinguished ),2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Classless,Classless,Officer,League of Shadows,Prince,High Spirits,Solid / Renowned,Broad / Proficient,Solid / Respected,Broad / Master (archipelago: Respected ),Solid / Respected,Solid / Distinguished,Solid / Renowned,Paragon / Grand-Master,Solid / Distinguished,Solid / Proficient,Broad / Respected,Narrow / Distinguished,Narrow / Distinguished (archipelago: Able),Novice / Proficient (archipelago: Able),Narrow / Proficient,Expert / Proficient,Solid / Able,Novice / Able,Novice / Able (archipelago: Proficient ),Solid / Grand-Master (archipelago: Renowned ),Broad / Legendary (archipelago: Grand-Master ),Novice / Able,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Gelatoisback,Gelatoisback,Hunter,League of Shadows,Member,High Spirits,Solid / Proficient,Weighty / Proficient,Illustrious / Distinguished,Solid / Respected (archipelago: Proficient ),Expert / Respected,Solid / Proficient,Expert / Master,Narrow / Able,Apprentice / Proficient,Broad / Able,Neophyte / Proficient,Neophyte / Proficient,Novice / Able,Novice / Able,Novice / Proficient,Novice / Able,Expert / Proficient (archipelago: Distinguished ),Apprentice / Able,Broad / Able,Broad / Able (archipelago: Proficient ),Illustrious / Legendary (archipelago: Renowned ),Broad / Proficient,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Gifts,Gifts,Officer,League of Shadows,Member,High Spirits,Novice / Able,Solid / Ultimate (archipelago: Grand-Master ),Solid / Respected,Narrow / Master (archipelago: Distinguished ),Solid / Renowned,Broad / Master (archipelago: Renowned ),Weighty / Respected,Solid / Master (archipelago: Renowned ),Neophyte / Proficient (archipelago: Able),Novice / Legendary (archipelago: Master ),Novice / Able,Novice / Able,Novice / Able,Novice / Able,Novice / Able,Solid / Master,Novice / Able,Novice / Able,Novice / Proficient,Novice / Able,Novice / Legendary (archipelago: Master ),Solid / Renowned,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Juurikki,Juurikki,Officer,League of Shadows,Member,High Spirits,Expert / Renowned,Expert / Renowned (archipelago: Respected ),Illustrious / Master,Solid / Renowned (archipelago: Respected ),Expert / Distinguished,Solid / Proficient,Weighty / Master,Broad / Proficient,Weighty / Master,Solid / Master (archipelago: Distinguished ),Apprentice / Able,Apprentice / Proficient (archipelago: Able),Apprentice / Distinguished (archipelago: Able),Solid / Grand-Master (archipelago: Able),Narrow / Distinguished,Solid / Proficient (archipelago: Distinguished ),Narrow / Proficient,Solid / Distinguished,Weighty / Respected,Expert / Grand-Master (archipelago: Renowned ),Solid / Master (archipelago: Distinguished ),Narrow / Respected,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Narrewaz,Narrewaz,Distiller,League of Shadows,Prince,High Spirits,Solid / Master (archipelago: Renowned ),Solid / Proficient,Weighty / Grand-Master,Solid / Grand-Master,Illustrious / Grand-Master,Solid / Respected (archipelago: Renowned ),Expert / Master,Expert / Renowned (archipelago: Master ),Expert / Distinguished,Narrow / Proficient,Narrow / Master (archipelago: Grand-Master ),Neophyte / Respected (archipelago: Renowned ),Narrow / Distinguished (archipelago: Able),Novice / Able,Narrow / Proficient (archipelago: Respected ),Sublime / Proficient,Illustrious / Renowned (archipelago: Master ),Solid / Respected (archipelago: Master ),Solid / Renowned,Solid / Master,Broad / Legendary (archipelago: Master ),Broad / Master,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Robsox,Robsox,Officer,League of Shadows,Member,High Spirits,Solid / Proficient (archipelago: Distinguished ),Broad / Proficient,Expert / Respected (archipelago: Master ),Solid / Respected (archipelago: Distinguished ),Solid / Proficient,Solid / Proficient (archipelago: Able),Solid / Able,Illustrious / Distinguished,Broad / Able,Broad / Proficient (archipelago: Able),Novice / Proficient,Novice / Distinguished,Novice / Able,Broad / Respected (archipelago: Able),Neophyte / Proficient,Solid / Renowned,Expert / Distinguished,Weighty / Master (archipelago: Respected ),Broad / Proficient,Solid / Distinguished (archipelago: Proficient ),Solid / Distinguished,Narrow / Distinguished,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Sxxygal,Sxxygal,Officer,League of Shadows,Member,High Spirits,Expert / Master,Weighty / Proficient,Sublime / Master,Solid / Master (archipelago: Respected ),Expert / Proficient,Paragon / Respected (archipelago: Distinguished ),Expert / Legendary,Weighty / Respected (archipelago: Distinguished ),Solid / Legendary (archipelago: Renowned ),Broad / Renowned (archipelago: Master ),Solid / Renowned (archipelago: Master ),Narrow / Respected (archipelago: Master ),Apprentice / Proficient (archipelago: Able),Neophyte / Proficient (archipelago: Able),Neophyte / Proficient,Solid / Grand-Master (archipelago: Renowned ),Solid / Distinguished,Weighty / Respected (archipelago: Distinguished ),Broad / Proficient,Solid / Proficient,Broad / Legendary (archipelago: Renowned ),Narrow / Proficient,2026-04-27T18:22:37+00:00
https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Twitcher,Twitcher,Damsel,League of Shadows,Member,High Spirits,Expert / Ultimate (archipelago: Grand-Master ),Broad / Proficient,Illustrious / Master,Solid / Respected (archipelago: Distinguished ),Expert / Respected,Expert / Grand-Master,Weighty / Ultimate,Weighty / Distinguished,Solid / Legendary (archipelago: Grand-Master ),Sublime / Grand-Master (archipelago: Renowned ),Narrow / Grand-Master (archipelago: Renowned ),Apprentice / Respected (archipelago: Master ),Narrow / Respected (archipelago: Able),Broad / Master (archipelago: Able),Narrow / Master,Weighty / Proficient,Novice / Able,Novice / Able,Solid / Distinguished,Expert / Legendary (archipelago: Grand-Master ),Illustrious / Grand-Master (archipelago: Respected ),Narrow / Distinguished,2026-04-27T18:22:37+00:00
